time,angle,r1,r2,r3,r4,r5,r6,circular,lateral,rawname
20:32.7,81.47980017,745,752,734,708,723,781,0,-2,CZP_0_down2
20:32.7,77.06986782,747,755,735,709,723,784,0,-2,CZP_0_down2
20:32.7,72.80638088,750,757,736,710,724,788,0,-2,CZP_0_down2
20:32.7,68.61765012,753,761,738,711,725,793,0,-2,CZP_0_down2
20:32.7,64.58796276,756,763,740,714,727,795,0,-2,CZP_0_down2
20:32.8,61.00750112,758,767,742,716,728,800,0,-2,CZP_0_down2
20:32.8,57.57130632,759,771,744,717,729,805,0,-2,CZP_0_down2
20:32.8,55.22701958,761,773,745,718,731,811,0,-2,CZP_0_down2
20:32.8,52.72312695,763,780,747,720,732,815,0,-2,CZP_0_down2
20:32.8,50.65958518,764,784,749,722,733,821,0,-2,CZP_0_down2
20:32.9,49.16407938,765,788,750,724,734,827,0,-2,CZP_0_down2
20:32.9,48.13471929,765,790,750,725,734,829,0,-2,CZP_0_down2
20:32.9,47.65186433,767,793,752,727,736,833,0,-2,CZP_0_down2
20:32.9,47.68143518,767,796,752,728,736,835,0,-2,CZP_0_down2
20:32.9,48.19100801,767,795,753,730,737,836,0,-2,CZP_0_down2
20:33.0,49.33842916,768,795,752,729,737,836,0,-2,CZP_0_down2
20:33.0,51.28933492,766,792,749,726,735,832,0,-2,CZP_0_down2
20:33.0,53.67170958,765,789,751,728,735,828,0,-2,CZP_0_down2
20:33.0,56.74914601,765,785,749,725,734,823,0,-2,CZP_0_down2
20:33.0,60.41505528,762,780,746,723,732,817,0,-2,CZP_0_down2
20:33.1,64.17172311,760,774,744,720,730,810,0,-2,CZP_0_down2
20:33.1,68.72345747,758,771,742,719,730,805,0,-2,CZP_0_down2
20:33.1,72.92681094,756,766,740,715,726,799,0,-2,CZP_0_down2
20:33.1,77.54784993,753,762,738,714,727,793,0,-2,CZP_0_down2
20:33.1,82.27680638,750,758,736,712,725,788,0,-2,CZP_0_down2
20:33.2,87.20448493,747,754,732,710,724,784,0,-2,CZP_0_down2
20:33.2,92.19015618,744,752,730,710,724,780,0,-2,CZP_0_down2
20:33.2,97.2481948,743,748,728,710,723,775,0,-2,CZP_0_down2
20:33.2,102.2548956,741,745,726,710,722,772,0,-2,CZP_0_down2
20:33.2,107.4709796,738,741,725,709,721,769,0,-2,CZP_0_down2
20:33.3,112.5085142,736,738,724,708,721,766,0,-2,CZP_0_down2
20:33.3,117.4419378,735,735,723,706,720,762,0,-2,CZP_0_down2
20:33.3,122.5014006,734,733,725,705,719,760,0,-2,CZP_0_down2
20:33.3,127.6728691,735,729,724,704,718,755,0,-2,CZP_0_down2
20:33.3,132.3439651,735,725,726,703,717,752,0,-2,CZP_0_down2
20:33.4,136.4917377,735,722,726,702,716,751,0,-2,CZP_0_down2
20:33.4,141.0638969,735,720,727,701,716,750,0,-2,CZP_0_down2
20:33.4,145.0520139,735,717,725,699,715,747,0,-2,CZP_0_down2
20:33.4,150.2426245,736,713,726,699,714,745,0,-2,CZP_0_down2
20:33.4,152.5833119,735,708,726,700,714,743,0,-2,CZP_0_down2
20:33.5,155.090094,736,706,725,700,715,741,0,-2,CZP_0_down2
20:33.5,156.1747009,737,703,722,699,715,736,0,-2,CZP_0_down2
20:33.5,156.0936294,739,703,720,699,715,732,0,-2,CZP_0_down2
20:33.5,155.2432633,742,702,717,701,719,730,0,-2,CZP_0_down2
20:33.5,154.8643613,745,702,714,702,718,729,0,-2,CZP_0_down2
20:33.6,154.990003,746,703,714,702,718,728,0,-2,CZP_0_down2
20:33.6,155.5397697,746,702,715,703,718,728,0,-2,CZP_0_down2
20:33.6,155.8268139,748,702,714,703,718,727,0,-2,CZP_0_down2
20:33.6,155.9854893,749,702,714,703,718,727,0,-2,CZP_0_down2
20:33.6,155.6659448,749,702,715,703,718,727,0,-2,CZP_0_down2
