r1,r2,r3,r4,r5,r6,angle
1179,1071,1107,1109.555424,207,1131,141.0313568
1179,1071,1107.547961,1109,207,1131,140.446106
1179,1071,1107.075622,1109,207,1131,136.798645
1180,1070.831734,1108,1110,207,1131,138.5271912
1179.928038,1071,1107.071962,1109,207,1131,138.1725922
1179.384887,1071,1108,1109.384887,207,1131,137.6115112
1180,1071,1108,1110,207,1131,139.075531
1180,1071,1108,1110,207,1131,141.0174408
1180,1071,1108,1109.277298,207,1131,140.4119415
1180,1071,1107.889904,1109.889904,207,1131,138.5084686
1179.359038,1071,1107.359038,1109,207,1131,137.0798492
1179.811739,1071,1107.811739,1109.811739,207,1131,139.5219727
1180,1071,1107.962749,1109.962749,207,1131,142.0315247
1180,1071,1107,1109.111115,207,1131,144.0247955
1179.434703,1071.565297,1107.565297,1110,207,1131,143.7388
1179.964863,1071.035137,1108,1110,207,1131,143.2428741
1180,1071,1107,1109.252768,207,1131,138.7449036
1179.433296,1071,1107.566704,1109.433296,207,1131,140.3575287
1179.367797,1071,1107.367797,1109.367797,207,1131,138.6161652
1180,1071,1107.252991,1109,207,1131,140.6336212
1180,1071,1107.373639,1109.626361,207,1131,143.2316742
1180,1071,1107.880545,1110,207,1131,139.7706604
1180,1071,1108,1110,207,1131,142.1127777
1179,1071,1108,1110,207,1130.684709,142.3679962
1179,1071,1108.652194,1110,207,1130,144.3948517
1179,1071,1109,1110,208,1130,140.7467194
1179,1071,1109,1110,208,1131,141.5865479
1179,1071,1109,1110,208,1130,143.9996338
1179,1071,1109,1110,208,1130.848411,141.3243561
1179,1071,1109,1110,208,1131,142.3293304
1178.200141,1071,1108.200141,1110,207.2001413,1129.400283,142.2483673
1178.538336,1072,1108.538336,1110,207,1130,141.9716492
1179,1072,1107.449992,1110,207,1131,140.9561005
1179,1072,1107.926725,1109,207,1130.926725,143.8426056
1179,1072,1107,1109,207,1131,144.9103088
1178,1072,1106,1109,206.8223036,1130,144.7675171
1178,1072,1106.456436,1108.543564,206.456436,1130,146.0171051
1178.081446,1072.081446,1107,1109,207,1130.081446,145.4218445
1179,1072.674674,1107,1109,207,1130.674674,143.8356476
1179,1072,1106.076683,1108.076683,206,1130,143.0350647
1179.63901,1072,1106.36099,1109,206,1130,145.538208
1179,1072,1106.916453,1108,206,1130.916453,144.9455719
1179,1072,1106.400284,1108,206,1130.400284,145.0299988
1179,1072.8518,1105.1482,1108,206,1130,143.7055664
1179,1072,1106,1108,206,1130,145.0664825
1179,1072.611264,1105,1108,206,1130,144.0016022
1180.40206,1073,1104,1107.40206,206,1131,141.5562592
1181,1073,1103.293057,1107.293057,206,1131,141.5488586
1181.221217,1073,1103,1106.778783,206,1131,139.8920746
1181.911332,1073,1103,1106.088668,206,1131,136.6660004
1186.02333,1072.488335,1104,1106,206,1133,136.7167206
1187,1072,1104,1106,206,1132,136.6376343
1187,1072,1104,1106.924224,206,1132,136.8071442
1187,1072,1104,1106,206,1132,138.4233704
1187,1072,1104,1106.963609,206,1132,138.2201843
1186.880478,1072,1104,1107,206,1131.880478,138.5043488
1185.607183,1072,1104,1107,206,1131,138.3549652
1185.127576,1072,1105,1107.127576,206,1131.127576,139.4345551
1186,1072.248775,1104.751225,1108,206,1132,140.4491119
1186,1073,1104,1107.218928,206,1131.218928,137.5707703
1186,1072.885965,1103.885965,1107.885965,206,1130.885965,140.4669952
1188.924703,1071.037648,1100.075297,1106.037648,205.0376485,1130,136.7216644
1195.375135,1068.649946,1094.974919,1102.649946,204,1135.025081,138.6104279
1204.393483,1068,1093.075815,1102,203.0758146,1140.620927,139.8982086
1219.483323,1066.322215,1091.838892,1102.161108,202.1611075,1146.64443,136.530899
1227.913713,1069.971238,1090.211505,1103,203.3942475,1151.182743,127.3210144
1263.274392,1079.657599,1088,1104.328799,205.4931991,1158.821998,120.2600708
1290.354394,1083,1088.157482,1106.157482,208.3149644,1163.629929,115.3178558
1335.393848,1084.299231,1089.299231,1109.598462,212.5984621,1168.897693,110.4560623
1345,1087,1091,1113,214,1172,111.1067505
1352.768758,1087.768758,1092.768758,1115.768758,216.7687583,1170.768758,90.1654129
1357.823005,1088.964601,1093.964601,1116.964601,217.9646011,1171.964601,90.17210388
1351.826087,1091.543478,1095,1117,219,1172.152174,96.2738266
1340,1094,1095,1117,220,1172,99.794487
1348.97564,1095.662607,1094.662607,1116,220.6626066,1170.01218,102.9576263
1346.333611,1094.333194,1095,1116,220,1168.666806,103.6832275
1340.131323,1092.826265,1094.913132,1116,219.8262646,1168.826265,106.1903992
1325.807645,1089.052867,1093.350956,1114.701911,216.7019113,1166.350956,106.0097427
1317,1084,1091,1113,213,1163,101.8481064
1304.018648,1077.72669,1088.745338,1107.745338,206.7453381,1160,98.8152771
1310.269477,1070.730523,1087.455087,1105.910174,204.9101744,1160.544913,89.87970734
1305.836975,1066,1087.836975,1103.163025,201.1630246,1159.326049,113.3699722
1301,1066.668722,1088.665639,1102.668722,200,1159,111.2197342
1304.177425,1068,1089,1105.235485,202.7064552,1160.235485,115.072113
1310.502166,1067.165945,1089,1106.834055,205.8340553,1162.668111,111.160965
1312.51828,1066,1089.24086,1108,207.24086,1165.24086,112.5821152
1309.489169,1066,1090,1108,208,1166,107.1212616
1315.048646,1065,1091,1109.209729,209.2097292,1166.790271,105.3447647
1321.658583,1065.329292,1092,1110,211.3292915,1164,105.7753601
1323,1066,1092,1110,212,1163.322573,103.0659256
1320.081627,1065.459186,1092,1110.459186,211.5408136,1162,105.5921936
1315.546248,1066,1092,1110.424375,210.4243746,1161.424375,106.8063889
1303.204265,1065,1091,1110,207.7007108,1159.700711,105.7849884
1296.500213,1065.083298,1090,1108,205.8334044,1158.916702,111.8755341
1275.354057,1063.838514,1088,1106.838514,201.8385143,1155.757771,124.0633698
1263.120349,1062,1088,1104.186725,200,1152.186725,127.9256287
1249.650584,1062.516732,1088,1103.516732,199.4832684,1151,136.4854279
1240.759474,1062,1088.848105,1103,200,1151,134.977005
1236.838759,1061,1091.838759,1103,201.9193797,1150.677519,134.3070526
1236.490865,1061,1093.01827,1103.509135,203.0182702,1151.509135,133.028656
1234.527009,1061.736496,1096.209487,1104,205.4729911,1151.263504,141.7971802
1237.119235,1063.457693,1102.373078,1104,207.4576927,1152.084615,139.9705353
1240.333556,1065.333222,1105.666444,1103.333222,207.6667778,1151,143.3082733
1236.105823,1066.964726,1106.035274,1103.035274,206.0352743,1149.070549,147.8265686
1229.964901,1068.51755,1104.964901,1102.48245,204.4824504,1147.48245,145.8465424
1221.487593,1069,1101.495864,1101.165288,202.3305763,1146.165288,133.8344116
1240.234491,1069.20938,1089.371861,1099,199,1149.837519,118.4009857
1273.545378,1071.693172,1086.153414,1100.693172,201.5397583,1151.306828,113.5933228
1304.070696,1072,1087.504419,1104.008837,206.5132556,1151.008837,130.9438171
1330.210993,1071.071728,1090.464136,1108.928272,211.9282721,1163.784816,119.670166
1357.982776,1068.002153,1092.331898,1111.331898,215.663796,1170.995694,113.9957809
1372.438757,1066,1095.348394,1114.696788,220.3483939,1174,93.43873596
1380.833236,1065.361127,1096,1116.638873,221.6388726,1175.277745,86.38040161
1382.375939,1065.624061,1098,1118.375939,226,1178.751879,78.02184296
