r1,r2,r3,r4,r5,r6,angle
1020.0,1025.0,1022.0,1024.0,96.0,1037.2855307301827,139.00384521484375
1020.0,1025.0,1022.0,1024.0,96.0,1038.0,140.5384063720703
1020.0,1025.0,1022.0,1024.0,96.0,1038.0,140.87486267089844
1020.0,1025.0,1022.0,1024.0,96.0,1038.0,142.85665893554688
1020.0,1025.0,1022.0,1023.7494587843146,96.0,1038.0,142.5959014892578
1020.0,1025.0,1022.0,1023.0,96.0,1038.0,139.24563598632812
1020.0,1025.0,1022.0,1023.0,96.0,1038.0,140.93048095703125
1020.0,1025.0,1022.0,1023.7493124427741,96.0,1038.0,141.15823364257812
1020.0,1025.0,1022.0,1023.9627104751833,96.0,1038.0,140.08607482910156
1020.0,1025.0,1022.0,1023.3312793427395,96.0,1038.0,138.80079650878906
1020.0,1025.0,1022.0,1023.3820307995462,96.0,1038.0,137.68858337402344
1020.0,1025.0,1022.0,1024.0,96.0,1038.0,137.79147338867188
1020.0,1024.2723802595713,1022.0,1023.2723802595712,96.72761974042884,1038.0,136.3223876953125
1020.0,1024.082877960275,1022.0,1023.082877960275,97.0,1038.0,138.8368682861328
1020.0,1024.280876334319,1022.0,1023.280876334319,97.0,1038.0,138.0186767578125
1020.0,1024.8882913164753,1022.0,1023.8882913164753,97.0,1038.0,138.1621856689453
1020.0,1024.0,1022.0,1023.0,96.0,1038.0,137.03475952148438
1020.0,1024.0,1022.0,1023.0,96.0,1037.6532206332993,139.14923095703125
1020.0,1024.1431803253581,1021.143180325358,1023.0,96.143180325358,1038.0,139.1375274658203
1020.0,1025.0,1022.0,1023.0,97.0,1038.0,139.3108673095703
1020.0,1025.0,1022.0,1023.4302264350177,96.4302264350178,1038.0,137.73672485351562
1020.0,1025.0,1021.1901068399585,1023.0,96.0,1038.0,137.125244140625
1020.0,1025.0,1022.0,1024.0,96.0,1038.0,136.29379272460938
1019.0,1024.7902669933446,1022.0,1024.0,96.0,1038.0,138.40261840820312
1019.7391605965561,1025.0,1022.0,1024.0,96.0,1038.0,138.42088317871094
1019.103724137912,1025.0,1022.0,1024.0,96.0,1038.0,137.790771484375
1020.0,1024.5781885114845,1022.0,1024.4218114885155,96.0,1038.0,137.2195587158203
1019.0,1025.0,1022.0,1024.0,95.77855408184459,1038.0,139.24708557128906
1019.0,1025.0,1022.0,1024.0,95.0,1037.0721334754562,138.59898376464844
1019.0,1025.0,1022.0,1024.0,94.15931392124172,1036.1593139212416,138.1434326171875
1019.0,1025.0,1022.0,1024.9634894397839,94.0,1036.9634894397839,137.41018676757812
1019.0,1025.0,1022.7094658259687,1025.0,94.0,1036.0,140.125244140625
1019.0,1025.0,1022.0,1024.560682528388,93.56068252838794,1036.0,140.45556640625
1019.0,1025.0,1022.6288296568706,1024.6288296568705,93.0,1036.6288296568705,139.8516387939453
1019.0,1024.4807179237791,1022.5192820762207,1025.0,93.0,1037.0,140.2446746826172
1019.0,1024.9304545946559,1022.069545405344,1025.0,93.0,1037.0,141.90228271484375
1019.0,1024.0740713307005,1023.0,1024.0740713307005,93.0,1037.0,142.2905731201172
1019.8775449878115,1024.1224550121885,1023.0,1025.0,93.0,1037.0,140.69459533691406
1019.3708683675964,1024.6291316324036,1023.0,1025.0,93.0,1037.0,141.1908721923828
1020.0,1025.0,1023.0,1025.0,93.0,1037.0,141.306640625
1019.2938062465213,1025.0,1023.0,1024.2938062465212,93.0,1037.0,141.00411987304688
1020.0,1024.3919076946888,1023.0,1024.3919076946888,93.0,1037.0,140.8112030029297
1020.0,1024.783878075698,1023.0,1024.783878075698,93.0,1037.0,141.5999298095703
1020.0,1024.525867427265,1022.525867427265,1024.0,93.0,1037.0,142.37400817871094
1020.0,1025.0,1023.0,1024.0,93.0,1037.0,143.25515747070312
1020.0,1025.0,1023.0,1024.0,93.0,1037.0,143.0161895751953
1019.8410786000417,1024.8410786000418,1023.0,1024.0,93.0,1037.0,142.9803009033203
1020.0,1025.0,1023.0,1024.6207455430465,94.0,1037.0,143.26341247558594
1020.0,1025.0,1023.0,1024.0,94.0,1037.0,141.11305236816406
1020.0,1025.0,1023.0,1024.0,94.0,1037.0,142.03538513183594
1020.0,1025.0,1023.0,1024.0,94.0,1037.3426184898917,143.07302856445312
1020.0,1025.0,1023.0,1024.0,94.0,1037.0,143.87107849121094
1020.6756394506124,1026.0,1023.0,1024.0,94.0,1037.6756394506124,144.3983917236328
1021.0,1025.0,1023.6151815710814,1024.0,94.0,1038.0,144.83798217773438
1021.0,1025.6895699084357,1023.0,1024.0,94.0,1038.0,144.44384765625
